Бүртгэлийн дугаар,Худалдааны нэр,Олон улсын нэршилТун хэмжээNo,Эмийн хэлбэр ,Олгох нөхцөл,Үйлдвэрлэгчийн нэр,Улс,Хүчинтэй хугацаа,Бүртгүүлсэн байгууллага,Бүртгэлийн дугаар.1,Баркод,Баркод.1,,
FT20161018NP05756,Золмигрен,Золмитриптан,2.5мг,10,бүрхүүлтэй шахмал,Жороор,Farmak JSC,Украйн,2019.10.18,Еврофарм ХХК, ,,
FT20161018CO05757,Аспар Эспефа,Магнийн аспартат + Калийн аспартат,250мг+250мг,2x25,шахмал,Жоргүй,Chemiczno-Farmaceutyczna Spoldzielnia Pracy ESPEFA,Польш,2024.10.18,Еврофарм ХХК,5907506902225,,
F20161018RO05768,Ангал С,Хлоргексидин + лидокаин,30мл,1,хоолойн цацлага,Жоргүй,Laboratoria Qualiphar N.V/S.A.,Бельги,2021.10.18,Сандоз ТГ,3838957023981,,
F20161018RO05769,Ангал лемон,Хлоргексидин + лидокаин,30мг,1,хоолойн цацлага,Жоргүй,Laboratoria Qualiphar N.V/S.A.,Бельги,2021.10.18,Сандоз ТГ,3838957026586,,
F20161018RO05770,Ангал,Хлоргексидин + лидокаин,5мг+1мг,24,хүлхдэг шахмал,Жоргүй,Laboratoria Qualiphar N.V/S.A.,Бельги,2021.10.18,Сандоз ТГ,3838957050222,,
F20161018RO05771,Ангал лемон,Хлоргексидин + лидокаин,5мг+1мг,24,хүлхдэг шахмал,Жоргүй,Laboratoria Qualiphar N.V/S.A.,Бельги,2021.10.18,Сандоз ТГ,3838957026609,,
FT20161018AO05760,Улькавис,Висмутын субцитрат,120мг,56,бүрхүүлтэй шахмал,Жоргүй,"KRKA d.d., Novo Mesto",Словени,2024.10.18,"KRKA, d.d., Novo mesto Төлөөлөгчийн газар",3838989686154,,
FT20161018GP05748,Хлормадиноны ацетат,Хлормадинон,25мг,100,шахмал,Жороор,"Kobayashi Kako Co., Ltd",Япон,2024.10.18,Уужим мандах ХХК,114987436470030,,
FT20161018AO05751,Ции ханборгоцой,Аскорбины хүчил,500мг,100,зажилдаг шахмал,Жоргүй,Contract Manufacturing & Packaging Services PTY.LTD,Австрали,2024.10.18,Монголфарм ХХК,9343930000209,,
FT20161018AO05752,Ции гүзээлзгэнэ,Аскорбины хүчил,500мг,100,зажилдаг шахмал,Жоргүй,Contract Manufacturing & Packaging Services PTY.LTD,Австрали,2024.10.18,Монголфарм ХХК,9343930000667,,
FT20161018AO05753,Ции лайм ба нимбэг,Аскорбины хүчил,500мг,100,зажилдаг шахмал,Жоргүй,Contract Manufacturing & Packaging Services PTY.LTD,Австрали,2024.10.18,Монголфарм ХХК,9343930000193,,
FT20161018AO05754,Ции жүрж,Аскорбины хүчил,500мг,100,зажилдаг шахмал,Жоргүй,Contract Manufacturing & Packaging Services PTY.LTD,Австрали,2024.10.18,Монголфарм ХХК,9343930000186,,
F20161018LP05798,Платекс-100,Оксалиплатин,100мг-50мл,1,тарилгын уусмал,Жороор,Flagship Biotech International,БНЭУ,2021.10.18,Айвико хэлт кэйр ХХК,8904209440419,,
F20161018LP05797,Онкотекс-260,Паклитаксел,260мг-43.4мл,1,тарилгын уусмал,Жороор,Flagship Biotech International,БНЭУ,2021.10.18,Айвико хэлт кэйр ХХК,8904209440075,,
F20161018LP05796,Флагтин-50,Цисплатин,50мл,1,тарилгын шингэн,Жороор,Flagship Biotech International,БНЭУ,2021.10.18,Айвико хэлт кэйр ХХК,8904209440372,,
F20161018LP05795,Доксор-10,Доксорубицин,10мг,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,Flagship Biotech International,БНЭУ,2021.10.18,Айвико хэлт кэйр ХХК,8904209440563,,
F20161018VP05794,Зоворин-50,Леуковорин,50мг-50мл,1,тарилгын уусмал,Жороор,Flagship Biotech International,БНЭУ,2021.10.18,Айвико хэлт кэйр ХХК,8904209441768,,
F20161018JP05793,Менем-1,Меропенем,1г,1,тарилгын нунтаг + тарилгын уусмал,Жороор,United Biotech (P) LTD,БНЭУ,2021.10.18,Айвико хэлт кэйр ХХК,8904092902063,,
FT20161018LP05745,Элигард,Лейпрорелин,45мг,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,Astellas Pharma Europe B.V.,Нидерланд,2024.10.18,Моносфарм Трейд ХХК,4607098450821,,
FT20161018RO05764,Гексализ,Биклотимол + Лизоцим + Эноксолон,5мг+5мг+5мг,30,шахмал,Жоргүй,Laboratoires Bouchara-Recordati,Франц,2024.10.18,Азифарма ХХК,3592751325299,,
FT20161018RO05765,Гексаспрэй,Биклотимол,2.5%-30г,1,спрей,Жоргүй,Laboratoires Bouchara-Recordati,Франц,2024.10.18,Азифарма ХХК,3592752779725,,
L20081224BP03965,Новокайн,Прокаин,2%-50мл,1,тарилгын уусмал,Жороор,Айвико тарилгын шингэний үйлдвэр,Монгол,2023.12.24,Айвико ХХК,8656020738939,,
L20081224BP03963,Новокайн,Прокаин,0.5%-50мл,1,тарилгын уусмал,Жороор,Айвико тарилгын шингэний үйлдвэр,Монгол,2023.12.24,Айвико ХХК, ,,
L20081224BP03964,Новокайн,Прокаин,1%-50мл,1,тарилгын уусмал,Жороор,Айвико тарилгын шингэний үйлдвэр,Монгол,2023.12.24,Айвико ХХК,8656020738922,,
L20141119NP04024,Натрийн салицилат,Натрийн салицилат,10%-2мл,50,тарилгын уусмал,Жороор,Айвико тарилгын шингэний үйлдвэр,Монгол,2024.11.19,Айвико ХХК,8656020738908,,
L20150520NP04702,Лидокайн,Лидокаин,2%-50мл,1,тарилгын уусмал,Жороор,Айвико тарилгын шингэний үйлдвэр,Монгол,2025.05.20,Айвико ХХК,8656020738892,,
F120530BP03045,Альбумин-ЖиСиСи,Хүний альбумин,50мл,1,тарилгын шингэн,Жороор,Green Cross Corporation,БНСУ,2020.05.30,Монголэмимпекс ХХК, ,,
F20090424JP02083,Амоксициллин,Амоксициллин,250мг,10,капсул,Жороор,"CSPC Zhongnuo Pharmaceutical /Shijiazhuang/ Co.,Ltd",БНХАУ,2024.04.24,Энто ХХК, ,,
FT20161018HP05737,Эутирокс,Левотироксиний натри,75мкг,100,шахмал,Жороор,MERCK KGaA,Герман,2024.10.18,Моносфарм Трейд ХХК,4054839369308,,
FT20161018HP05736,Эутирокс,Левотироксиний натри,50мкг,100,шахмал,Жороор,MERCK KGaA,Герман,2024.10.18,Моносфарм Трейд ХХК,4054839369292,,
FT20161018HP05735,Эутирокс,Левотироксиний натри,25 мкг,100,шахмал,Жороор,MERCK KGaA,Герман,2024.10.18,Моносфарм Трейд ХХК,4054839369285,,
FT20161018HP05740,Эутирокс,Левотироксиний натри,150 мкг,100,шахмал,Жороор,MERCK KGaA,Герман,2024.10.18,Моносфарм Трейд ХХК,4054839369438,,
FT20161018HP05739,Эутирокс,Левотироксиний натри,125мкг,100,шахмал,Жороор,MERCK KGaA,Герман,2024.10.18,Моносфарм Трейд ХХК,4054839369421,,
FT20161018HP05738,Эутирокс,Левотироксиний натри,100 мкг,100,шахмал,Жороор,MERCK KGaA,Герман,2024.10.18,Моносфарм Трейд ХХК,4054839369414,,
FT20161018AP05734,Глюкованс 500мг/2.5мг,Метформин + Глибенкламид,500мг+2.5мг,30,бүрхүүлтэй шахмал,Жороор,Merck Sante S.A.S,Франц,2024.10.18,Моносфарм Трейд ХХК,356540060118,,
FT20161018AP05733,Глюкованс 500мг/5мг,Метформин + Глибенкламид,500мг+5мг,30,бүрхүүлтэй шахмал,Жороор,Merck Sante S.A.S,Франц,2024.10.18,Моносфарм Трейд ХХК,3596540060125,,
FT20161122AP05839,Нейрорубин Ай Эм,Тиамин + Пиридоксин + Цианокобаламин,1мг+100мг+100мг-3мл,5,тарилгын уусмал,Жороор,Haupt Pharma Wulfing GmbH,Герман,2024.11.22,Моносфарм Трейд ХХК,7640153081612,,
F20161018JP05786,Ултик- кит,Лансопразол + тинидазол + кларитромицин,30мг+500мг+250мг,7,"капсул, ходоодонд чөлөөлөгдөх бүрхүүлтэй",Жороор,Coral Laboratories Ltd.,БНЭУ,2021.10.18,Саба трейд ХХК,8904151819974,,
F20161018AP05785,Диабеднорм М,Гликлазид + Метформин,80мг+500мг,100,шахмал,Жороор,Coral Laboratories Ltd.,БНЭУ,2021.10.18,Саба трейд ХХК,8904151819950,,
F20161122SP05873,Офло Ай,Офлоксацин,0.3%-5г,1,нүдний тосон түрхлэг,Жороор,BKRS Pharma Pvt.Ltd,БНЭУ,2021.11.22,Их Төгөл ХХК,8908003345758,,
F20161122SP05872,Тетра Ай,Тетрациклин,1%-3г,1,тосон түрхлэг,Жороор,BKRS Pharma Pvt.Ltd,БНЭУ,2021.11.22,Их Төгөл ХХК,8908003345741,,
F20161122AP05871,Велглобин,Поливитамин,200мл,1,сироп,Жороор,"Protech Biosystems PVT., Ltd",БНЭУ,2021.11.22,Их Төгөл ХХК,8901783008882,,
F20161122AP05870,Калрол,Холекальциферол,15мг,1,ууж хэрэглэх дусал,Жороор,"Protech Biosystems PVT., Ltd",БНЭУ,2021.11.22,Их Төгөл ХХК,8901783011646,,
F20161122JP05869,Еролаид-П,Эритромицин,125/5мг/мл-60мл,1,хөвмөлийн нунтаг,Жороор,"Protech Biosystems PVT., Ltd",БНЭУ,2021.11.22,Их Төгөл ХХК,8901783011653,,
FT20161122BO05853,Фолцид шахмал,Фолийн хүчил,1мг,200,шахмал,Жоргүй,"Cho-A Pharm. Co.,Ltd",БНСУ,2021.11.22,Энто ХХК, ,,
FT20161122AO05854,Уранитин,Л-орнитин-Л-аспартат,1500мг-10мл,30,шингэн,Жоргүй,"Cho-A Pharm Co.,Ltd",БНСУ,2024.11.22,Энто ХХК,8806446020433,,
FT20161122AO05855,Уратонил,Л-орнитин-Л-аспартат + Никотинамид + Рибофлавин,0.764мг+24мг+300мг-5мл,20,шингэн,Жоргүй,"Cho-A Pharm Co.,Ltd",БНСУ,2024.11.22,Энто ХХК,8806446006123,,
FT20161122AO05856,Басипан-Эй,Лактобацил + Пиридоксины гидрохлорид + рибофлавин,66.68мг+12мг+3.5мг-2г,10,мөхлөг,Жоргүй,"Cho-A Pharm Co.,Ltd",БНСУ,2019.11.22,Энто ХХК, ,,
FT20161122AO05856,Басипан-Эй,Лактобацил + Пиридоксины гидрохлорид + рибофлавин,66.68мг+12мг+3.5мг-2г,100,мөхлөг,Жоргүй,"Cho-A Pharm Co.,Ltd",БНСУ,2019.11.22,Энто ХХК,8806446018812,,
FT20161122MO05857,Кэрол сироп,Ибупрофен,20мг/мл-90мл,1,сироп,Жоргүй,"Ildong Pharmaceutical Co.,Ltd",БНСУ,2024.11.22,Энто ХХК,8806429020313,,
FT20161122NO05858,Накол плюс сироп,Парацетамол + Хлорфенамин + Типепидин + Дл-Метилэфедриний гидрохлорид + Коффеин,10мг/мл+0.083мг/мл+0.666мг/мл+0.833мг/мл+0.833мг/мл-90мл,1,сироп,Жоргүй,"Ildong Pharmaceutical Co.,Ltd",БНСУ,2024.11.22,Энто ХХК,8806429000414,,
FT20161018LP05732,Мабтера,Ритуксимаб,100мг-10мл,1,тарилгын уусмал бэлтгэх концентрат,Жороор,Roche Diagnostics GmbH,Герман,2024.10.18,Медиал Ди энд Пи ТГ,7640128014782,,
FT20161018LP05731,Мабтера,Ритуксимаб,500мг-50мл,1,тарилгын уусмал бэлтгэх концентрат,Жороор,Roche Diagnostics GmbH,Герман,2024.10.18,Медиал Ди энд Пи ТГ,7640128014799,,
FT20161018LP05723,Авастин,Бевацизумаб,25мг/мл-4мл,1,концентраттай уусмал,Жороор,F. Hoffmann - La Roche Ltd,Швейцари,2024.10.18,Моносфарм Трейд ХХК,7640128013150,,
FT20161018LP05724,Авастин,Бевацизумаб,25мг/мл-16мл,1,концентраттай уусмал,Жороор,F. Hoffmann - La Roche Ltd,Швейцари,2024.10.18,Моносфарм Трейд ХХК,7640128013143,,
FT20161018CP05720,Юперио,Сакубитрил + валсартан,24мг+26мг,28,бүрхүүлтэй шахмал,Жороор,Novartis Pharma Stein AG,Швейцари,2019.10.18,Моносфарм Трейд ХХК,7612797402665,,
FT20161018CP05721,Юперио,Сакубитрил + валсартан,49мг+51мг,28,бүрхүүлтэй шахмал,Жороор,Novartis Pharma Stein AG,Швейцари,2019.10.18,Моносфарм Трейд ХХК,7612797402658,,
FT20161018CP05722,Юперио,Сакубитрил + валсартан,97мг+103мг,28,бүрхүүлтэй шахмал,Жороор,Novartis Pharma Stein AG,Швейцари,2019.10.18,Моносфарм Трейд ХХК,7612797402641,,
FT20161018CP05725,Юперио,Сакубитрил + Валсартан,24мг+26мг,28,бүрхүүлтэй шахмал,Жороор,Novartis Pharma Stein AG,Сингапур,2024.10.18,Моносфарм Трейд ХХК,7612797402665,,
FT20161018CP05726,Юперио,Сакубитрил + Валсартан,49мг+51мг,28,бүрхүүлтэй шахмал,Жороор,"Novartis Singapore Pharmaceutical Manufacturing PTE.LTD.,",Сингапур,2024.10.18,Моносфарм Трейд ХХК,7612797402658,,
FT20161018CP05727,Юперио,Сакубитрил + Валсартан,97мг+103мг,28,бүрхүүлтэй шахмал,Жороор,"Novartis Singapore Pharmaceutical Manufacturing PTE.LTD.,",Сингапур,2024.10.18,Моносфарм Трейд ХХК,7612797402641,,
FT20161018CP05728,Юперио,Сакубитрил + Валсартан,24мг+26мг,28,бүрхүүлтэй шахмал,Жороор,Novartis Farma SPA,Итали,2024.10.18,Моносфарм Трейд ХХК,7612797402665,,
FT20161018CP05729,Юперио,Сакубитрил + Валсартан,49мг+51мг,28,бүрхүүлтэй шахмал,Жороор,Novartis Farma SPA,Итали,2024.10.18,Моносфарм Трейд ХХК,7612797402658,,
FT20161018CP05730,Юперио,Сакубитрил + Валсартан,97мг+103мг,28,бүрхүүлтэй шахмал,Жороор,Novartis Farma SPA,Итали,2024.10.18,Моносфарм Трейд ХХК,7612797402641,,
F20161018GP05772,Хорионий гонадотропин,Гонадотропин хорионик,500 IU,5,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,Moscow Endocrine Plant,ОХУ,2021.10.18,Моносфарм Трейд ХХК, ,,
F20161018GP05773,Хорионий гонадотропин,Гонадотропин хорионик,1000 I.U,5,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,Moscow Endocrine Plant,ОХУ,2021.10.18,Моносфарм Трейд ХХК, ,,
F20161018GP05774,Хорионий гонадотропин,Гонадотропин хорионик,1500 I.U,5,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,Moscow Endocrine Plant,ОХУ,2021.10.18,Моносфарм Трейд ХХК, ,,
FT20161018MO05742,Гофен 400,Ибупрофен,400мг,10x5,"капсул, желатин бүрхүүлтэй",Жоргүй,Mega Lifesciences Public Company Limited,Тайланд,2024.10.18,Моносфарм Трейд ХХК,8850769014754,,
FT20161018AO05741,Нат В,Витамин В комплекс, ,30,зөөлөн капсул,Жоргүй,Mega Lifesciences Public Company Limited,Тайланд,2024.10.18,Моносфарм Трейд ХХК,8850769013245,,
FT20161018JP05763,Албиотин,Клиндамицин,10мг/мл-30мл,1,уусмал,Жороор,PR.Genero Pharmaceuticals,Индонез,2024.10.18,Монфа трейд ХХК,8992858510218,,
FT20161122LO05845,Лаферобион,Интерферон альфа-2b,150000 ОУН,10,лаа,Жоргүй,Biofarma,Украйн,2019.11.22,Мөнхийн тун ХХК,4820187010571,,
FT20161122LO05846,Лаферобион,Интерферон альфа-2b,500000 ОУН,10,лаа,Жоргүй,Biofarma,Украйн,2019.11.22,Мөнхийн тун ХХК,4820187010595,,
FT20161122LO05847,Лаферобион,Интерферон альфа-2b,1000000 ОУН,10,лаа,Жоргүй,Biofarma,Украйн,2019.11.22,Мөнхийн тун ХХК,4820187010618,,
FT20161122LO05848,Лаферобион,Интерферон альфа-2b,3000000 ОУН,10,лаа,Жоргүй,Biofarma,Украйн,2019.11.22,Мөнхийн тун ХХК,4820187010632,,
FT20161018LP05744,Элигард,Лейпрорелин,22.5мг,1,уусмалын нунтаг,Жороор,Astellas Pharma Europe B.V.,Нидерланд,2024.10.18,Моносфарм Трейд ХХК,4607098450722,,
FT20161018GP05746,Гонал-Ф,Фоллитропин альфа,75 I.U,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,Merck Serono S.P.A,Швейцари,2024.10.18,Баянгол мед ХХК,4607069190343,,
FT20161018GP05746,Гонал-Ф,Фоллитропин альфа,75 I.U,5,тарилгын уусмал бэлтгэх нунтаг,Жороор,Merck Serono S.P.A,Швейцари,2024.10.18,Баянгол мед ХХК,4607069190503,,
FT20161018GP05746,Гонал-Ф,Фоллитропин альфа,75 I.U,10,тарилгын уусмал бэлтгэх нунтаг,Жороор,Merck Serono S.P.A,Швейцари,2024.10.18,Баянгол мед ХХК,4607069190367,,
FT20161018LP05743,Элигард,Лейпрорелин,7.5мг,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,Astellas Pharma Europe B.V.,Нидерланд,2024.10.18,Моносфарм Трейд ХХК,4607098450715,,
FT20161018NP05759,Вицеброл,Винпоцетин,5мг,50,шахмал,Жороор,Biofarm Sp.Z.O.O,Польш,2019.10.18,Ач Үр ХХК, ,,
FT20161018RO05765,Гексаспрей,Биклотимол,2.5%-30г,1,спрей,Жоргүй,Laboratoires Bouchara-Recordati,Франц,2019.10.18,Азифарма ХХК, ,,
F20161018JP05779,Кламокс Бид,Амоксициллин + Клавуланы хүчил,1000мг,15,бүрхүүлтэй шахмал,Жороор,Bilim Ilac Sanayi Ve Ticaret A.S,Турк,2021.10.18,Азифарма ХХК,8699569090328,,
F20161018JP05781,Кламокс,Амоксициллин + Клавуланы хүчил,156.25мг/5мл-100мл,1,хөвмөл,Жороор,Bilim Ilac Sanayi Ve Ticaret A.S,Турк,2021.10.18,Азифарма ХХК,8699569280064,,
F20161018JP05782,Ларгопен,Амоксициллин,250мг-100мл,1,хөвмөл,Жороор,Bilim Ilac Sanayi Ve Ticaret A.S,Турк,2021.10.18,Азифарма ХХК,8699569280200,,
F20161018JP05778,Кламокс,Амоксициллин + Клавуланы хүчил,625мг,15,бүрхүүлтэй шахмал,Жороор,Bilim Ilac Sanayi Ve Ticaret A.S,Турк,2021.10.18,Азифарма ХХК,8699569090182,,
F20161018JP05780,Кламокс форт,Амоксициллин + Клавуланы хүчил,100мл,1,хөвмөл,Жороор,Bilim Ilac Sanayi Ve Ticaret A.S,Турк,2021.10.18,Азифарма ХХК, ,,
FT20161122NO05859,Грипофлекс,Парацетамол + Аскорбины хүчил + Фенирамин,200мг+500мг+25мг-5г,5,уусмалын нунтаг,Жоргүй,Olainfarm JSC,Латви,2024.11.19,Моносфарм Трейд ХХК,4750258312085,,
F20161122MO05867,Индометацин,Индометацин,100мг/г-40г,1,тосон түрхлэг,Жоргүй,Borisovskiy zavod Medicinskikh preparatov,Беларусь,2021.11.22,Мөнхийн тун ХХК,4810201003894,,
F20161122DP05861,Синафлан,Флуоцинолоны ацетонид,0.25мг/г-15г,1,тосон түрхлэг,Жороор,Borisovskiy zavod Medicinskikh preparatov,Беларусь,2021.11.22,Мөнхийн тун ХХК,4810201004259,,
F20161122DP05862,Преднизолон,Преднизолон,5мг/г-10г,1,тосон түрхлэг,Жороор,Borisovskiy zavod Medicinskikh preparatov,Беларусь,2021.11.22,Мөнхийн тун ХХК,4810201005528,,
F20161122DP05864,Миконазол,Миконазол,20мг/г-15г,1,крем,Жороор,Borisovskiy zavod Medicinskikh preparatov,Беларусь,2021.11.22,Мөнхийн тун ХХК,4810201005140,,
F20161122DP05865,Гентамицин,Гентамицин,1-15г,1,тосон түрхлэг,Жороор,Borisovskiy zavod Medicinskikh preparatov,Беларусь,2021.11.22,Мөнхийн тун ХХК, ,,
F20161122DO05866,Повидон иод,Повидон,10мг/г-20г,1,тосон түрхлэг,Жоргүй,Borisovskiy zavod Medicinskikh preparatov,Беларусь,2021.11.22,Мөнхийн тун ХХК,4810201007175,,
FT20161122JP05836,Гасек 20 гастрокапс,Омепразол,20мг,14,капсул,Жороор,Acino Pharma AG,Швейцари,2021.11.22,Моносфарм Трейд ХХК,7640153081506,,
FT20161122MO05837,Олфен 1% гель,Диклофенак,1%-20г,1,гель,Жоргүй,Sofarimex Industria Quimica E Farmaceutica S.A,Португал,2019.11.22,Моносфарм Трейд ХХК,7640153081452,,
FT20161122MP05838,Олфен 75 мг АйЭм,Диклофенак + лидокаин,75мг+20мг-2мл,5,тарилгын уусмал,Жороор,Haupt Pharma Wulfing GmbH,Герман,2019.11.22,Моносфарм Трейд ХХК, ,,
FT20161122DO05834,Оми бродерхүүд ментарм,Камфор + Ментол + Эвкалиптийн тос,1.3%+1.35%+9.6%-15г,1,крем,Жоргүй,The Omi Brotherhood LTD,Япон,2024.11.22,Аялуунфарм ХХК, ,,
FT20161122DO05833,Оми бродерхүүд ментарм Ку,Метилсалицилат + Ментол + Эвкалиптийн тос + Терпентинний тос,1.5%+12%+2%+6%-65г,1,крем,Жоргүй,The Omi Brotherhood LTD,Япон,2024.11.22,Аялуунфарм ХХК,4987036966202,,
L20150520NO04686,Лидокайны гидрохлорид,Лидокаин,2%-2мл,10,тарилгын уусмал,Жоргүй,Цомбо фарм эмийн үйлдвэр,Монгол,2025.05.20,Цомбо фарм ХХК,8656020817238,,
L20140701DO03903,Повдин,Повидон,10%-300мл,1,уусмал,Жоргүй,Вест Мед ХХК-ий ариутгал халдваргүйтгэлийн бодисын үйлдвэр,Монгол,2024.07.01,Вестмед ХХК, ,,
L20140701DO03902,Повдин,Повидон,7.5%-300мл,1,уусмал,Жоргүй,Вест Мед ХХК-ий ариутгал халдваргүйтгэлийн бодисын үйлдвэр,Монгол,2024.07.01,Вестмед ХХК, ,,
L20140701DO03901,Повдин,Повидон,5%-300мл,1,уусмал,Жоргүй,Вест Мед ХХК-ий ариутгал халдваргүйтгэлийн бодисын үйлдвэр,Монгол,2024.07.01,Вестмед ХХК, ,,
L20140701DO03900,Повдин,Повидон,2.5%-300мл,1,уусмал,Жоргүй,Вест Мед ХХК-ий ариутгал халдваргүйтгэлийн бодисын үйлдвэр,Монгол,2024.07.01,Вестмед ХХК, ,,
L20140701DO03899,Повдин,Повидон,1%-100мл,1,уусмал,Жоргүй,Вест Мед ХХК-ий ариутгал халдваргүйтгэлийн бодисын үйлдвэр,Монгол,2024.07.01,Вестмед ХХК, ,,
F20161122JP05875,Кларие ДС 125,Кларитромицин,25мг/мл-50мл,1,хөвмөлийн нунтаг,Жороор,Ind-Swift Limited,БНЭУ,2021.11.22,Астелла ХХК,8904004704303,,
F20161122JP05876,Левофлацин,Левофлоксацин,500мг,10x10,бүрхүүлтэй шахмал,Жороор,Flamingo Pharmaceuticals Ltd,БНЭУ,2021.11.22,Астелла ХХК, ,,
F20161122RP05874,Роксирол РТ,Рокситромицин + амброксол,150 мг+60 мг,10x10,бүрхүүлтэй шахмал,Жороор,Concept Pharmaceutical LTD,БНЭУ,2021.11.22,Астелла ХХК, ,,
F20161122JP05877,Эмбатрим форте,Сульфаметоксазол + триметоприм,800мг+160мг,10x10,шахмал,Жороор,Flamingo Pharmaceuticals Ltd,БНЭУ,2021.11.22,Астелла ХХК,2890187211782,,
FT20161122NH05852,Севопран ингаляцийн уусмал,Севофлуран,250мл,6,утлагын уусмал,Жороор,"ILsung Pharmaceuticals Co.,Ltd",БНСУ,2024.11.22,Грандмед фарм ХХК /ХХБ/, ,,
FT20160831BP5696,Хавонстрепаза шах,Стрептокиназа + Стрептодорназа,10000 I.U+2500 I.U,500,шахмал,Жороор,Hawon Pharmaceutical Corporation,БНСУ,2019.08.31,Палома ХХК, ,,
FT20160831AP05697,Жеил аскорбины хүчил 500мг,Аскорбины хүчил,500мг-2мл,50,тарилгын уусмал,Жороор,"Jeil Pharmaceutical Co.,Ltd",БНСУ,2024.08.31,Палома ХХК,108806505006323,,
FT20160129GP05331,Бетмига,Мирабегрон,25мг,10,шахмал,Жороор,Avara Pharmaceutical Technologies Inc,АНУ,2024.01.29,Моносфарм Трейд ХХК, ,,
FT20160129GP05331,Бетмига,Мирабегрон,25мг,30,шахмал,Жороор,Avara Pharmaceutical Technologies Inc,АНУ,2024.01.29,Моносфарм Трейд ХХК, ,,
FT20160129GP05332,Бетмига,Мирабегрон,50мг,10,шахмал,Жороор,Avara Pharmaceutical Technologies Inc,АНУ,2024.01.29,Моносфарм Трейд ХХК, ,,
FT20160129GP05332,Бетмига,Мирабегрон,50мг,30,шахмал,Жороор,Avara Pharmaceutical Technologies Inc,АНУ,2024.01.29,Моносфарм Трейд ХХК, ,,
FT20161122JP05849,Ай Ви Хепабиг инж,Гепатит Б иммуноглобулин,200 I.U/мл-10мл,1,тарилгын уусмал,Жороор,Green Cross Corporation,БНСУ,2024.11.22,Монголэмимпекс ХХК,8806436014411,,
F20161122JP05868,Орнифорд,Орнидазол,500мг,1,тарилгын уусмал,Жороор,Oxford Laboratories PVT. Ltd,БНЭУ,2021.11.22,Бэриш Фарм ХХК, ,,
FT20150520JP04678,Симикан,Амикацин,250мг/2мл,1,тарилгын уусмал,Жороор,PT. Bernofarm Pharmaceutical Company,Индонез,2023.05.20,Монголфарм ХХК,8992001700015,,
FT20150928BP05107,Аносол,Амин хүчил,60.48%-250мл,1,тарилгын шингэн,Жороор,"Shin Poong Pharmaceutical Co.,Ltd",БНСУ,2023.09.28,Азифарма ХХК,8806485025314,,
FT20150928BP05107,Аносол,Амин хүчил,60.48%-500мл,1,тарилгын шингэн,Жороор,"Shin Poong Pharmaceutical Co.,Ltd",БНСУ,2023.09.28,Азифарма ХХК,1436,,
FT20150928BP05108,Ливерсол,Амин хүчил,250мл,1,тарилгын шингэн,Жороор,"Shin Poong Pharmaceutical Co.,Ltd",БНСУ,2023.09.28,Азифарма ХХК,8806485007211,,
FT20161122CO05835,Падма 28, ,403мг,60,капсул,Жороор,Padma AG,Швейцари,2024.11.22,Дэл Магнай ХХК,8658000189014,,
FT20161122CO05835,Падма 28, ,403мг,200,капсул,Жороор,Padma AG,Швейцари,2024.11.22,Дэл Магнай ХХК, ,,
FT20150928GP05110,Фемостон 1/5 конти,Эстрадиол + Дидрогестерон,1 мг+5 мг,28,бүрхүүлтэй шахмал,Жороор,Abbott Biologicals B.V,Нидерланд,2023.09.28,Моносфарм Трейд ХХК,8002660010100,,
FT20150928GP05111,Фемостон 1/10,Эстрадиол + Дидрогестерон,1 мг+10 мг,28,бүрхүүлтэй шахмал,Жороор,Abbott Biologicals B.V,Нидерланд,2023.09.28,Моносфарм Трейд ХХК,8002660011022,,
FT20150928GP05112,Фемостон 2/10,Эстрадиол + Дидрогестерон,2 мг+10 мг,28,бүрхүүлтэй шахмал,Жороор,Abbott Biologicals B.V,Нидерланд,2023.09.28,Моносфарм Трейд ХХК,8002660030245,,
FT20150928JO05119,Лизак оранж,Деквалиний хлорид + Лизоцим,10мг,10,шахмал,Жоргүй,Farmak JSC,Украйн,2023.09.28,Монголфарм ХХК,4823002229684,,
FT20150928RO05121,Лизак гоньд+ гаа,Лизоцим + дидрогестерон,10мг,10,шахмал,Жоргүй,Farmak JSC,Украйн,2023.09.28,Монголфарм ХХК,4823002229691,,
F20150928GO05141,Афала, , ,100,дисперсийн шахмал,Жоргүй,Materia Medica Holding OOO NPF,ОХУ,2025.09.28,Моносфарм Трейд ХХК,4607009582290,,
FT20151104JP05215,Тивикай,Долутегравир,50мг,30,шахмал,Жороор,Glaxo Operations UK Limited,ИБУИНВУ,2023.11.04,Моносфарм Трейд ХХК, ,,
F20151211CP05263,Триметазидин,Триметазидин,20мг,30,шахмал,Жороор,Belmedpreparaty RUE,Беларусь,2020.12.11,Моносфарм Трейд ХХК,4810133008837,,
